gene,ate
ENSMUSG00000043155,0.6206606304217903
ENSMUSG00000115232,0.08969521509667544
ENSMUSG00000015627,0.4501433261475647
ENSMUSG00000073460,0.06766704553744418
ENSMUSG00000094686,-0.0947547402796971
ENSMUSG00000060560,0.35538270667585614
ENSMUSG00000075552,-0.00013965886389044613
ENSMUSG00000024485,-0.07054410421498147
ENSMUSG00000092212,0.1710221825566851
ENSMUSG00000027939,-0.03822828976957737
ENSMUSG00000026546,-0.24093702238434922
ENSMUSG00000106715,-0.04725018539233261
ENSMUSG00000026567,0.01932176946317732
ENSMUSG00000109398,-1.592365947030693
ENSMUSG00000095648,0.041584848345221914
ENSMUSG00000034918,0.9951261769431721
ENSMUSG00000038782,0.16754447929746696
ENSMUSG00000067768,-0.16333522667244083
ENSMUSG00000094091,0.31845273835164356
ENSMUSG00000100200,0.29636652518225226
ENSMUSG00000059406,0.2938123643389492
ENSMUSG00000082932,-0.7063763517348143
ENSMUSG00000061815,0.03073521401978141
ENSMUSG00000028909,-0.014823344980037234
ENSMUSG00000037994,0.7963450075243301
ENSMUSG00000029752,-0.11297787358266476
ENSMUSG00000037196,-0.607356333598954
ENSMUSG00000047528,0.23615826021399755
ENSMUSG00000027867,0.01928349660974682
ENSMUSG00000038295,-0.09153791730981276
