gene,ate
ENSMUSG00000117874,-0.22364045756687645
ENSMUSG00000075318,-0.0929766367308229
ENSMUSG00000111709,-0.010305772899032561
ENSMUSG00000094686,-0.0947547402796971
ENSMUSG00000078901,-8.906208711323416e-05
ENSMUSG00000032323,-6.009637752768526e-05
ENSMUSG00000109564,0.014699680508281077
ENSMUSG00000049436,0.027397692851277355
ENSMUSG00000027500,-0.06851051875618275
ENSMUSG00000041794,0.1887709724450879
ENSMUSG00000074183,-0.012549423502330015
ENSMUSG00000026609,0.4094564414180706
ENSMUSG00000027379,0.034996263068750366
ENSMUSG00000027871,-1.507970801029046e-05
ENSMUSG00000063590,0.044402587681959815
ENSMUSG00000022878,-0.01820535481265395
ENSMUSG00000021697,0.26539626194524857
ENSMUSG00000026255,-2.7210837734159554e-05
ENSMUSG00000028587,0.20494024207794048
ENSMUSG00000079494,0.11874252295135435
